Species,Site,Plot,C/T,Plant ID,Date,FLWR PHENO Flwr Bud,FLWR PHENO Flwr Mat,FLWR PHENO Flwr Sen.,FLWR PHENO Cap twist,FLWR PHENO Seed Disp,FLWR PHE Aborted,Eaten,Height,PHENO,Flwr_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,8,T,531,219,,,2,,,,,43,Sen,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,8,T,14R,219,,,2,,,2,,39,Sen,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,9,C,541,219,,,3,1,,,,48,Sen,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,9,C,542,219,,,4,1,,,,45,Cap,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,9,T,538,219,,,7,,,,,36,Sen,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,9,T,539,219,,,3,3,,,,58,Cap,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,10,C,547,219,,,2,,,,,39,Sen,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,10,C,548,219,,,7,,,,,36,Sen,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,10,T,544,219,,,,3,,1,,64,Cap,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,10,T,15R,219,,,2,,,,,51,Sen,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,11,C,553,219,,,1,,,,,17,Sen,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,11,C,554,219,,,4,,,,,28,Sen,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,11,T,550,219,,,6,,,,,36,Sen,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,11,T,16R,219,,,10,3,,1,,38,Cap,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,12,C,558,219,,,1,,,,,61,Sen,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,12,C,559,219,,,2,,,,1,22,Sen,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,12,T,555,219,,,,,,3,,27,A,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,12,T,557,219,,,7,,,,,40,Sen,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,13,C,594,219,,,5,,,,,53,Sen,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,13,C,596,219,,,5,,,,,41,Sen,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,13,T,17R,219,,,2,3,,,,66,Cap,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,13,T,18R,219,,,7,,,,,42,Sen,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,14,C,588,219,,,1,,,,,29,Sen,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,14,C,590,219,,,3,,,,,37,Sen,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,14,T,587,219,,,1,2,,,,54,Cap,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,14,T,585,219,,,1,1,,,,58,Cap,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,15,C,564,219,,,1,,,,,31,Sen,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,15,C,566,219,,,,,,,2,31,Eat,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,15,T,561,219,,,2,,,,,45,Sen,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,15,T,19R,219,,,2,3,,,,81,Cap,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,16,C,570,219,,,5,,,,,44,Sen,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,16,C,572,219,,,9,,,,,38,Sen,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,16,T,20R,219,,,2,,,,,20,Sen,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,16,T,21R,219,,,4,,,,,45,Sen,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,17,C,576,219,,,7,,,,,30,Sen,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,17,C,23R,219,,,,1,,,,34,Cap,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,17,T,22R,219,,,12,2,,,,61,Cap,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
