Species,Site,Plot,C/T,Plant ID,Date,FLWR PHENO Flwr Bud,FLWR PHENO Flwr Mat,FLWR PHENO Flwr Sen.,FLWR PHENO Cap twist,FLWR PHENO Seed Disp,FLWR PHE Aborted,Eaten,Height,PHENO,Flwr_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,DRYAS,7,C,2R,219,,,4,2,,,,48,Cap,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,1,2,2,,71,Cap,222
Dryas,DRYAS,7,C,42,219,,,4,,,,,31,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,3,,,,49,,222
Dryas,DRYAS,7,T,37,219,,,6,,,,,23,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,2,1,,,78,Cap,222
Dryas,DRYAS,7,T,38,219,,,1,2,,2,,71,Cap,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,4,2,,,69,Cap,222
Dryas,DRYAS,8,C,46,219,,,3,,,,,49,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,,8,1,,66,Cap,222
Dryas,DRYAS,8,C,47,219,,,2,1,,,,78,Cap,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,2,2,,,55,Cap,222
Dryas,DRYAS,8,T,43,219,,,4,2,,,,69,Cap,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,1,,,,33,,222
Dryas,DRYAS,8,T,45,219,,,,8,,1,,66,Cap,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,17,,,,52,,222
Dryas,DRYAS,9,C,53,219,,,2,2,,,,55,Cap,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,,4,,,81,,222
Dryas,DRYAS,9,C,54,219,,,1,,,,,33,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,3,3,,,67,Cap,222
Dryas,DRYAS,9,T,49,219,,,17,,,,,52,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,3,1,,,37,Cap,222
Dryas,DRYAS,9,T,50,219,,,,4,,,,81,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,2,,,,46,,222
Dryas,DRYAS,10,C,1R,219,,,3,3,,,,67,Cap,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,6,1,,,40,Cap,222
Dryas,DRYAS,10,C,60,219,,,3,1,,,,37,Cap,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,DRYAS,10,T,56,219,,,2,,,,,46,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,DRYAS,10,T,57,219,,,6,1,,,,40,Cap,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,1,C,406,219,,,3,1,,,1,69,Cap ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,1,C,1R,219,,,2,5,,,3,58,Cap ,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,1,T,403,219,,,30,,,,,54,Sen,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,1,T,401,219,,,,3,1,,,92,Sd,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,2,C,411,219,,,9,,,5,5,57,Sen,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,2,C,412,219,,,5,1,,,,55,Cap,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,2,T,408,219,,,5,,,,,46,Sen,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,2,T,T2-3,219,,,3,,,,6,57,Sen,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,3,C,415,219,,,,1,,,,64,Cap,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,3,C,414,219,,,3,,,,,33,Sen,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,3,T,2R,219,,,9,1,,,,82,Cap ,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,3,T,3R,219,,,2,7,,,,61,Cap,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,4,T,417,219,,,3,7,,,1,69,Cap,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,4,T,4R,219,,,,5,,,,118,Cap,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,5,C,422,219,,,4,,,,,47,Sen,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,5,C,423,219,,,4,,,,4,36,Sen,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,5,T,420,219,,,6,17,,,,116,Cap,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,5,T,421,219,,,5,2,,,,76,Cap,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,6,C,429,219,,,4,6,,,1,39,Cap,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,6,C,5R,219,,,12,,,,,52,Sen,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,6,T,427,219,,,6,,,,,65,Sen,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,6,T,425,219,,,,1,,,7,64,Cap,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,7,C,444,219,,,1,,,,,51,Sen,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,7,C,445,219,,,5,,,5,,43,Sen,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,7,T,448,219,,,,1,,,1,81,Sen,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,7,T,447,219,,,1,,,,,29,Sen,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,8,C,435,219,,,9,5,,,,77,Cap,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,8,C,436,219,,,4,1,,,,85,Cap,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,8,T,431,219,,,,,,6,,47,Eaten ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,8,T,6R,219,,,1,12,,2,,97,Cap,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,9,C,452,219,,,2,,,1,,36,Sen,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,9,C,7R,219,,,10,1,,2,,74,Cap,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,10,C,440,219,,,7,,,,,38,Sen,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,10,C,441,219,,,5,1,,,,38,Cap,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,10,T,437,219,,,4,7,,,,84,Cap,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,WILL,10,T,8R,219,,,14,2,,,,79,Cap,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
