Unique Random ID,Petri Dish ID#,C/T,Plant ID,Species,Site,Plot,# seeds (50 seeds),# seeds Petri dish in lab,ungerminated seed count GD33,total germinated seeds,Seeds Collection DOY,Phenology,# seeds (all seeds),weight all seeds (g/mg),# extra seed,weight extra seeds (g/mg),weight 50 seeds (mg),Extra seeds (Y/N),Processor,Comments,Unique non random ID,# Dryas flwrs,Dryas seed Ripeness,Notes
169,Dr169,T,22R,Dryas,CASS,17,50,50,,0,224,Y,50,15.03,,8.06,6.97,Y,Zoe,,65,2,2,
170,Dr170,C,15F,Dryas,FERT,31,50,50,,0,224,Y,50,8.15,,3.63,4.52,Y,Zoe,,120,2,2,
171,Dr171,T,43,Dryas,DRY,8,50,50,,44,224,Y,50,35.85,,26.24,9.61,Y,Zoe,,99,3,3,
172,Dr172,T,13,Dryas,DRY,3,50,45,,2,224,Y,50,11.86,,5.41,6.45,Y,Zoe,,81,4,2,
173,Dr173,T,470,Dryas,MEAD,7,35,35,,0,224,Y,35,2.59,0,0,2.59,N,Zoe,,135,1,2,
174,Dr174,T,N21,Dryas,CASS,13,50,50,,2,224,N,50,6.73,,3.19,3.54,Y,Andrew,,50,2,3,
175,Dr175,C,576,Dryas,CASS,17,50,50,,0,224,Y,50,5.53,,0.59,4.94,Y,Hailey,,63,1,2,
176,Dr176,C,N31,Dryas,CASS,18,50,50,,0,224,N,50,15.67,,11.35,4.32,Y,Andrew,,68,2,2,
177,Dr177,C,423,Dryas,WILL,5,0,0,,,224,Y,0,0,0,0,0,N,Hailey,,156,1,1,
178,Dr178,C,559,Dryas,CASS,12,50,51,,0,224,Y,50,11.78,,7.36,4.42,Y,Hailey,,44,2,2,
179,Dr179,C,5R,Dryas,MEAD,8,50,50,,0,224,Y,50,24.83,,18.11,6.72,Y,Hailey,,136,3,2,
180,Dr180,T,447,Dryas,WILL,7,0,0,,,224,Y,0,0,0,0,0,N,Hailey,no leaves,166,1,1,
181,Dr181,T,N19,Dryas,CASS,12,50,51,,0,224,N,50,10.07,,3.51,6.56,Y,Andrew,,46,1,2,
182,Dr182,T,2R,Dryas,MEAD,4,50,50,,0,224,Y,50,8.33,,6.5,1.83,Y,Hailey,seeds from flower ouside of the square which phenology was analyzed,129,4,2,
183,Dr183,C,N15,Dryas,CASS,10,50,51,,0,224,N,50,27.18,,21.74,5.44,Y,Andrew,,35,3,2,
184,Dr184,T,N10,Dryas,CASS,7,50,50,,31,224,N,50,41.94,,28.7,13.24,Y,Andrew,,26,3,3,
185,Dr185,T,50,Dryas,DRY,9,50,49,,6,224,Y,50,33.69,,24.95,8.74,Y,Hailey,,104,3,2,
186,Dr186,T,N12,Dryas,CASS,8,50,50,,0,224,N,71,7.15,21,1.72,5.43,Y,Andrew,,30,1,2,
