Plate,Location,Unique Random ID,Numb Lv,Weight,DNA extraction comments,Hair on leaves,Petioles,Observer,Unique Random ID,Species,Site,Community,Plot,C/W/G,Plant ID,Leaf collection DOY,Phenology,Collector,Latitude,Longitude,Comments
3 and 4,c10,257,3,15.1,1 hairy,1,,,257,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W1,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,d10,258,2,16.3-4.3,2 hairy,2,,,258,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C3,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,e10,259,3,11.1,1 hairy,1,,,259,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C16,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,f10,260,4,12.3,2 hairy,2,,,260,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W19,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,g10,261,4,16.5-4.3,1 hairy,1,,,261,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C19,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,h10,262,5,14.2,2 hairy,2,,,262,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C15,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,a11,263,2,16.9-4.3,"1 hairy, large green serated leaves",1,,,263,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W7,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,b11,264,3,14.4, 1 hairy,1,,,264,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C2,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,c11,265,2,16.5,"large green leaves, 1 hairy",1,,,265,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W8,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,d11,266,3,16.2-4.3,1 hairy,1,,,266,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C6,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,e11,267,3,13.7,"1 -no hair, sharp serated leaves",1,,,267,D.octopetala,Svalbard,NA,12,W,W12,NA,N,Petr Matek,,,No seed
3 and 4,f11,268,4,11.9,1 hairy,1,,,268,D.octopetala,Svalbard,NA,6,C,C6,NA,N,Petr Matek,,,No seed
3 and 4,g11,269,5,11.3,1 hairy,1,,,269,D.octopetala,Svalbard,NA,18,C,C18,NA,N,Petr Matek,,,No seed
3 and 4,h11,270,4,14.5,1 hairy,1,,,270,D.octopetala,Svalbard,NA,49,W,W49,NA,N,Petr Matek,,,Yes seed
3 and 4,a12,271,5,11.2,"1 hairy, small leaves",1,,,271,D.octopetala,Svalbard,NA,18,W,W18,NA,N,Petr Matek,,,No seed
3 and 4,b12,272,4,14.4,1 - hairy,1,,,272,D.octopetala,Svalbard,NA,8,W,W8,NA,N,Petr Matek,,,Yes seed
3 and 4,c12,273,7,13.4,lots of tissue,,,,273,D.octopetala,Svalbard,NA,12,C,C12,NA,N,Petr Matek,,,No seed
3 and 4,d12,274,6,13.8,1 - hairy,1,,,274,D.octopetala,Svalbard,NA,6,W,W6,NA,N,Petr Matek,,,No seed
3 and 4,e12,275,5,12.5,1 - hairy,1,,,275,D.octopetala,Svalbard,NA,8,C,C8,NA,N,Petr Matek,,,No seed
3 and 4,f12,276,4,11,1 - hairy,1,,,276,D.octopetala,Svalbard,NA,16,C,C16,NA,N,Petr Matek,,,No seed
3 and 4,g12,277,6,12.7,1 - hairy,1,,,277,D.octopetala,Svalbard,NA,16,W,W16,NA,N,Petr Matek,,,No seed
3 and 4,h12,278,4,13.2,1 - hairy,1,,,278,D.octopetala,Svalbard,NA,49,C,C49,NA,N,Petr Matek,,,Yes seed
