Plate,Location,Unique Random ID,Numb Lv,Weight,DNA extraction comments,Hair on leaves,Petioles,Observer,Unique Random ID,Species,Site,Community,Plot,C/W/G,Plant ID,Leaf collection DOY,Phenology,Collector,Latitude,Longitude,Comments
1 and 2,b6,71,3,15.8-2.4,,1,S,Cassandra,71,D. integrifolia,Alexandra Fiord,FERT,39,C,20F,224,Y,Cassandra,,,
1 and 2,c6,76,3,9.99,,1,S,Chris,76,D. integrifolia,Alexandra Fiord,MEAD,2,C,451,224,Longterm,Cassandra,,,
1 and 2,d6,79,4,14.8-2.4,,1,S,Cassandra,79,D. integrifolia,Alexandra Fiord,CASS,12,W,555,224,Longterm,Cassandra,,,
1 and 2,e6,80,4,14.0,,1,S,Chris,80,D. integrifolia,Alexandra Fiord,MIGR,24,C,11,225,N,Cassandra,,,
1 and 2,f6,82,7,13.8-2.4,,1,S,Cassandra,82,D. integrifolia,Alexandra Fiord,DRY,4,C,23,224,Longterm,Cassandra,,,
1 and 2,g6,84,2,12.0,2-hairy,2,S,Chris,84,D. integrifolia,Alexandra Fiord,WILL,10,W,437,224,Longterm,Cassandra,,,
1 and 2,h6,85,4,16.2-2.4,3-hairy,3,S,Cassandra,85,D. integrifolia,Alexandra Fiord,MIGR,19,W,8,225,N,Cassandra,,,
1 and 2,a7,88,3,10.5,,1,S,Chris,88,D. integrifolia,Alexandra Fiord,WILL,6,C,429,224,Longterm,Cassandra,,,
1 and 2,b7,90,4,14.0,3-hairy,3,S,Chris,90,D. integrifolia,Alexandra Fiord,WILL,2,C,412,224,Longterm,Cassandra,,,
1 and 2,c7,91,4,15.2-2.4,,1,S,Cassandra,91,D. integrifolia,Alexandra Fiord,CASS,12,C,558,224,Longterm,Cassandra,,,
1 and 2,d7,92,4,14-2.4,,1,S,Cassandra,92,D. integrifolia,Alexandra Fiord,DRY,5,C,28,224,Longterm,Cassandra,,,
1 and 2,e7,94,4,11.5,2- hairy,2,S,Chris,94,D. integrifolia,Alexandra Fiord,WILL,1,W,401,224,Longterm,Cassandra,,,
1 and 2,f7,95,3,9.5,,1,S,Chris,95,D. integrifolia,Alexandra Fiord,MEAD,7,C,473,224,Longterm,Cassandra,,,
1 and 2,g7,96,4,15.8-2.4,,1,S,Cassandra,96,D. integrifolia,Alexandra Fiord,DRY,3,C,18,224,Longterm,Cassandra,,,
1 and 2,h7,97,5,15.9-2.4,,1,S,Cassandra,97,D. integrifolia,Alexandra Fiord,FERT,5,C,1F,224,Y,Cassandra,,,
1 and 2,a8,98,5,10.3,,1,S,Chris,98,D. integrifolia,Alexandra Fiord,CASS,18,W,24R,224,Y,Cassandra,,,
1 and 2,b8,100,4,=14-2.4,,1,S,Cassandra,100,D. integrifolia,Alexandra Fiord,WILL,3,C,414,224,Longterm,Cassandra,,,
1 and 2,c8,105,3,11.6,,1,S,Hailey,105,D. integrifolia,Alexandra Fiord,MIGR,6,C,5,225,N,Cassandra,,,
1 and 2,d8,106,3,11.4,,1,S,Hailey,106,D. integrifolia,Alexandra Fiord,CASS,16,C,572,224,Longterm,Cassandra,,,
1 and 2,e8,107,4,=15-2.4,2 - hairy,2,S,Cassandra,107,D. integrifolia,Alexandra Fiord,WILL,7,W,448,224,Longterm,Cassandra,,,
1 and 2,f8,110,2,12.2,,1,S,Hailey,110,D. integrifolia,Alexandra Fiord,FERT,6,W,3F,224,Y,Cassandra,,,
1 and 2,g8,111,4,11.8,lots of seed,1,S,Hailey,111,D. integrifolia,Alexandra Fiord,FERT,22,W,12F,224,Y,Cassandra,,,
1 and 2,h8,112,7,=14-2.4,,1,S,Cassandra,112,D. integrifolia,Alexandra Fiord,FERT,13,C,7F,224,Y,Cassandra,,,
1 and 2,a9,113,4,11.4,,1,S,Hailey,113,D. integrifolia,Alexandra Fiord,CASS,1,C,506,224,Longterm,Cassandra,,,
1 and 2,b9,115,7,14.3-2.4,,1,S,Cassandra,115,D. integrifolia,Alexandra Fiord,DRY,8,C,47,224,Longterm,Cassandra,,,
1 and 2,c9,116,4,12.2,,1,S,Hailey,116,D. integrifolia,Alexandra Fiord,MEAD,1,W,444,224,Longterm,Cassandra,,,
1 and 2,d9,118,8,14.4-2.4,2 - hairy,2,S,Cassandra,118,D. integrifolia,Alexandra Fiord,CASS,8,C,534,224,Longterm,Cassandra,,,
1 and 2,e9,119,4,16,,1,S,Hailey,119,D. integrifolia,Alexandra Fiord,CASS,2,W,2R,224,Y,Cassandra,,,
1 and 2,f9,120,5,12.8,,1,S,Hailey,120,D. integrifolia,Alexandra Fiord,MIGR,21,C,9,225,N,Cassandra,,,
1 and 2,g9,121,6,15-2.4,,1,S,Cassandra,121,D. integrifolia,Alexandra Fiord,WILL,7,C,444,224,Longterm,Cassandra,,,
1 and 2,h9,123,4,13.7,,1,S,Hailey,123,D. integrifolia,Alexandra Fiord,DRY,2,W,7,224,Longterm,Cassandra,,,
1 and 2,a10,125,10,14.5-2.4,,1,S,Cassandra,125,D. integrifolia,Alexandra Fiord,WILL,7,C,445,224,Longterm,Cassandra,,,
