File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
C2.G04.C2c12_SVAL12C_12_273_R1_val_1_bismark_bt2_pe.bam	54365625	38060300	7455788	8849338	199	6459324	31600976	1078915198	36956344	79478617	20550861	129609631	19295470	793024275
C2.G12.C2a6_LATD1C_4_223_R1_val_1_bismark_bt2_pe.bam	67007620	46583717	10469661	9953998	244	6973933	39609784	1413587954	53109075	88888733	30687993	164312732	31052266	1045537155
C2.H12.C2g6_ALAS0C_18_229_R1_val_1_bismark_bt2_pe.bam	61502310	41773805	11241759	8486548	198	6720318	35053487	1269130589	48877286	72809468	27866718	147074616	28472210	944030291
Lab_sample5_R1_val_1_bismark_bt2_pe.bam	67505065	47295188	13215893	6993883	101	8427133	38868055	1482246195	57422274	87960706	38671533	154509367	54786056	1088896259
W1.A06.W1b4_DRY1W_3_39_R1_val_1_bismark_bt2_pe.bam	55719535	39007361	7468847	9243127	200	5618278	33389083	1110479116	36690817	81269777	20889280	132726423	21099349	817803470
W1.A07.W1a6_MEAD2W_450_70_R1_val_1_bismark_bt2_pe.bam	54050079	37676582	6882291	9491002	204	5455838	32220744	1048968053	33670072	80063952	19757414	125723807	19668308	770084500
W1.A08.W1e8_WILL7W_448_107_R1_val_1_bismark_bt2_pe.bam	60464752	41816776	8553957	10093807	212	6294138	35522638	1191711292	39640456	85971152	22387519	142903855	22406052	878402258
W1.A09.W1f10_CASS5W_525_130_R1_val_1_bismark_bt2_pe.bam	61139542	42436679	8676859	10025746	258	6425166	36011513	1209972134	43205344	80255038	25525734	142214870	25670200	893100948
W1.B06.W1c4_FERT30W_14F_40_R1_val_1_bismark_bt2_pe.bam	58518750	41263390	8286255	8968882	223	7709633	33553757	1156988940	38849471	82390305	21596148	139083863	21790378	853278775
W1.B08.W1f8_FERT6W_3F_110_R1_val_1_bismark_bt2_pe.bam	60601475	42505100	8274214	9821891	270	6012861	36492239	1213330263	41463539	85199451	23537577	144949943	26587362	891592391
W1.B09.W1b11_CASS17W_574_137_R1_val_1_bismark_bt2_pe.bam	60478582	41845502	8937917	9694918	245	6737509	35107993	1229679406	42970360	85352434	24013381	146504099	23100342	907738790
W1.B10.W1e12_MEAD6W_466_163_R1_val_1_bismark_bt2_pe.bam	61204848	41758458	9458354	9987801	235	6109461	35648997	1203388853	42678955	81657970	25459493	141699921	25501166	886391348
