by	Aligned.Reads	Total.Reads	Methylated.CpGs	Methylated.chgs	Methylated.CHHs	Unmethylated.CpGs	Unmethylated.chgs	Unmethylated.CHHs	Height	Flwr_total	Lf.Weight.2018	Lf.hairs.field	Aphids	Crystals.on.lv	Seed_count2018	Seed_weight2018	Dryas.seed.Ripeness	Seed_count2019	Seed.weight2019	Percent_germ2019	Numb.Lv	Hair.on.leaves
A	43596051	64209679	51240134	28465968	33380037	78638760	159205683	1013884608	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C	42324076.1287129	60337777.4257426	43477823.0891089	24676984.039604	25184776.9009901	84347646.7821782	148117533.207921	921586487.940594	51.6153846153846	5.46153846153846	0.0308695652173913	2	1	1	45.9565217391304	8.19391304347826	2	23.3870967741935	0.00606451612903226	0.0753881277741936	4.69387755102041	1.34210526315789
L	47295188	67505065	57422274	38671533	54786056	87960706	154509367	1088896259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
W	43029277.3	61465783.32	44866484.17	25968123.85	28498947.84	84673234.75	149393876.42	933245321.93	77.2307692307692	7.53846153846154	0.0395652173913043	4.65217391304348	1.81818181818182	1	44.1304347826087	18.6147826086957	2.1304347826087	16.7741935483871	0.004	0.0475153439	4.28571428571429	1.47368421052632
